problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
3,francesa,7,0.9999,"(1, 1)",True,0.64506805,0.16070427,1.0,0.6602381,1.0,0.585,1.0,0.73333335,1.0,0.35833332,1.0,0.93333334,1.0,0.052606391906738284,0.4672060012817383,0.10627526091925817,0.01584004591207252,0.0
3,francesa,12,0.9999,"(1, 1)",False,0.6254762,0.114669,1.0,0.63,1.0,0.5883333,1.0,0.8,1.0,0.40833333,1.0,0.73333335,1.0,0.04745497703552246,0.43845505714416505,0.1421733542981647,0.01573085921473409,0.0
3,francesa,1,0.9999,"(1, 2)",True,0.6964286,0.15339912,1.0,0.76166666,1.0,0.66333336,1.0,0.8666667,1.0,0.35833332,1.0,0.8,1.0,0.10995416641235352,1.4905722618103028,0.2888379769575138,0.023049493193174925,0.0
3,francesa,6,0.9999,"(1, 2)",False,0.6659524,0.1299049,1.0,0.66833335,1.0,0.6666667,1.0,0.80833334,1.0,0.38333333,1.0,0.8,1.0,0.1062136173248291,1.2225922107696534,0.17408392226881567,0.033601149615349796,0.0
3,francesa,3,0.9999,"(1, 3)",True,0.6862585,0.13898592,1.0,0.71,1.0,0.6502381,1.0,0.81666666,1.0,0.4,1.0,0.8666667,1.0,0.18126535415649414,2.214015579223633,0.4045460624431019,0.060700207705688985,0.0
3,francesa,4,0.9999,"(1, 3)",False,0.67557824,0.10437217,1.0,0.69166666,1.0,0.6811905,1.0,0.80833334,1.0,0.44166666,1.0,0.73333335,1.0,0.16010966300964355,2.017717695236206,0.09221710255882722,0.05340462351688809,0.0
4,francesa,20,0.1,"(1, 1)",True,0.24227582,0.21605657,0.59885603,0.22857143,0.6090909,0.07272727,0.5567677,0.73333335,0.49175823,0.08,0.732634,0.28,0.6040293,0.011502456665039063,0.15436034202575682,0.03790906561692301,0.003813533305570881,0.07908152151675421
4,francesa,19,0.1,"(1, 1)",False,0.37656152,0.30634308,0.7679627,0.22857143,0.58787876,0.07272727,0.68666667,0.53333336,0.8967366,0.5,0.9328671,1.0,0.7356643,0.010638809204101563,0.11376538276672363,0.027261441448873488,0.0025456078574505794,0.12950570121761634
4,francesa,23,0.1,"(1, 2)",True,0.20571429,0.16108476,0.7168345,0.08,0.45384616,0.06666667,0.63,0.28,0.7710956,0.4,0.92923075,0.46666667,0.8,0.022997570037841798,0.28891959190368655,0.023131029117072044,0.006140841809804916,0.16228126201926282
4,francesa,22,0.1,"(1, 2)",False,0.20666666,0.1157995,0.7218508,0.16666667,0.42307693,0.06666667,0.63,0.28,0.8270396,0.4,0.86013985,0.3,0.8689977,0.02552824020385742,0.23128418922424315,0.031047833415647763,0.01024736146434955,0.17294111919172966
4,francesa,21,0.1,"(1, 3)",True,0.21047619,0.11463439,0.7210567,0.18,0.52273506,0.06666667,0.68222225,0.28,0.7993007,0.4,0.8010256,0.3,0.8,0.04028325080871582,0.410614013671875,0.028266366892008406,0.009868563726333034,0.10916848993625398
4,francesa,24,0.1,"(1, 3)",False,0.1752381,0.13072275,0.759566,0.06666667,0.63131315,0.06666667,0.63,0.28,0.83692306,0.4,0.83006996,0.28,0.8695238,0.03720746040344238,0.4105520248413086,0.03501857680361277,0.012522829137126703,0.10609598301827776
4,francesa,10,0.5,"(1, 1)",True,0.77047616,0.1356399,1.0,0.79333335,1.0,0.7866667,1.0,0.73333335,1.0,0.5,1.0,1.0,1.0,0.010602331161499024,0.11048040390014649,0.024923630382053353,0.0030944671716598786,0.0
4,francesa,10,0.5,"(1, 1)",False,0.77047616,0.1356399,1.0,0.79333335,1.0,0.7866667,1.0,0.73333335,1.0,0.5,1.0,1.0,1.0,0.011004781723022461,0.11845383644104004,0.009992486235107331,0.004031960764199372,0.0
4,francesa,17,0.5,"(1, 2)",True,0.6952381,0.1493994,1.0,0.62666667,1.0,0.70666665,1.0,0.46666667,1.0,0.73333335,1.0,1.0,1.0,0.02412581443786621,0.2327645778656006,0.035052386768711405,0.008199806261383615,0.0
4,francesa,14,0.5,"(1, 2)",False,0.72952384,0.13974385,1.0,0.6333333,1.0,0.7866667,1.0,0.53333336,1.0,0.73333335,1.0,1.0,1.0,0.02653355598449707,0.24898099899291992,0.027641012244833084,0.0069748234285895,0.0
4,francesa,18,0.5,"(1, 3)",True,0.6942857,0.17154494,1.0,0.6533333,1.0,0.79333335,1.0,0.46666667,1.0,0.5,1.0,1.0,1.0,0.04108281135559082,0.5221037864685059,0.03946763153007448,0.009749013293818816,0.0
4,francesa,16,0.5,"(1, 3)",False,0.6961905,0.13643335,1.0,0.79333335,1.0,0.79333335,1.0,0.46666667,1.0,0.5,1.0,0.73333335,1.0,0.03796119689941406,0.40534257888793945,0.026286882664338332,0.01132846296770576,0.0
4,francesa,3,0.9,"(1, 1)",True,0.8295238,0.15268423,1.0,0.8933333,1.0,0.8933333,1.0,0.73333335,1.0,0.5,1.0,1.0,1.0,0.011929607391357422,0.12833385467529296,0.03485820531912922,0.0032370719568501245,0.0
4,francesa,5,0.9,"(1, 1)",False,0.8009524,0.18359475,1.0,0.8933333,1.0,0.8933333,1.0,0.53333336,1.0,0.5,1.0,1.0,1.0,0.012360334396362305,0.12918400764465332,0.029956052489897432,0.005492510384170859,0.0
4,francesa,7,0.9,"(1, 2)",True,0.7952381,0.21412693,1.0,1.0,1.0,0.8,1.0,0.46666667,1.0,0.5,1.0,1.0,1.0,0.025724029541015624,0.2642362594604492,0.05179297549477883,0.008709826804498801,0.0
4,francesa,4,0.9,"(1, 2)",False,0.80285716,0.14726532,1.0,0.8933333,1.0,0.8,1.0,0.73333335,1.0,0.5,1.0,1.0,1.0,0.02454514503479004,0.2279064655303955,0.029289431729657516,0.008333516996973522,0.0
