problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,norm,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,19,0.75,"(2, 5)",True,l1,0.60629255,0.075977154,1.0,0.61261904,1.0,0.59690475,1.0,0.60833335,1.0,0.46666667,1.0,0.75,1.0,0.6851688385009765,2.788276958465576,0.24333349591408152,0.24336669210310946,0.0
1,inglesa,42,0.75,"(2, 5)",False,l1,0.51391155,0.07711575,0.99092466,0.5511905,0.97979796,0.40166667,1.0,0.59166664,0.9916084,0.5,0.9916084,0.6,0.9916084,0.6730570316314697,2.7940649509429933,0.26392764872817764,0.2533981933752021,0.006443093591844579
1,inglesa,3,0.75,"(2, 5)",True,l2,0.6382313,0.09946438,1.0,0.64357144,1.0,0.6735714,1.0,0.675,1.0,0.40833333,1.0,0.75,1.0,0.6805924415588379,2.79021577835083,0.2552409995736908,0.22590279203905558,0.0
1,inglesa,38,0.75,"(2, 5)",False,l2,0.5185034,0.09265666,0.98540795,0.5228571,0.97979796,0.41690475,0.989899,0.64166665,0.9916084,0.45,0.9916084,0.65833336,0.97412586,0.6749260425567627,2.8180461883544923,0.25367080627863003,0.23805418774147405,0.007152865067181569
1,inglesa,14,0.75,"(3, 5)",True,l1,0.6213265,0.08996741,1.0,0.6902381,1.0,0.56357145,1.0,0.625,1.0,0.46666667,1.0,0.75,1.0,0.5176278114318847,2.1737721443176268,0.20733645698707343,0.18740839500955545,0.0
1,inglesa,44,0.75,"(3, 5)",False,l1,0.5119048,0.089213625,0.99092466,0.58166665,0.97979796,0.40166667,1.0,0.59166664,0.9916084,0.425,0.9916084,0.6,0.9916084,0.5213215827941895,2.149342155456543,0.21028704065570722,0.18118063361595513,0.006443093591844579
1,inglesa,17,0.75,"(3, 5)",True,l2,0.61411566,0.0998163,1.0,0.67190474,1.0,0.615,1.0,0.56666666,1.0,0.40833333,1.0,0.75,1.0,0.5106336593627929,2.1797667503356934,0.18833724120047338,0.17416839581279106,0.0
1,inglesa,51,0.75,"(3, 5)",False,l2,0.48598638,0.09991788,0.98351747,0.50595236,0.969697,0.36166668,1.0,0.64166665,0.98327506,0.43333334,0.9823077,0.59166664,0.9823077,0.5123433589935302,2.1501516342163085,0.1721486408304441,0.1758996604183859,0.009650553470140216
1,inglesa,21,0.9,"(2, 3)",True,l1,0.6002381,0.11461955,0.99832165,0.53333336,1.0,0.6616667,1.0,0.6,1.0,0.41166666,1.0,0.8,0.9916084,0.3493340492248535,1.4913657665252686,0.13008051759271072,0.1256912877085672,0.0033566433566433406
1,inglesa,35,0.9,"(2, 3)",False,l1,0.5259864,0.09781873,0.9353823,0.47166666,0.94025254,0.51095235,0.94881505,0.5416667,0.9335914,0.425,0.9432651,0.75,0.9109873,0.3487356185913086,1.4859923839569091,0.15355138324408235,0.126344616418337,0.013150038898905822
